id,listing_url,name,neighbourhood_cleansed,zipcode,country,latitude,longitude,room_type,accommodates,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
13768853,https://www.airbnb.com/rooms/13768853,"Cozy, quiet room in Roslindale",Roslindale,2131,United States,42.28759769917666,-71.13448153404433,Private room,4,$50.00,96,10,10,10,10,10,10
13778731,https://www.airbnb.com/rooms/13778731,Beautiful Beacon Hill 1 Bedroom,Beacon Hill,2108,United States,42.35913965938924,-71.07109732108471,Entire home/apt,3,$275.00,95,10,10,10,10,10,10
13782612,https://www.airbnb.com/rooms/13782612,"Packards Corner, private 1BR ,Amazing location",Allston,2134,United States,42.35216083792811,-71.12938189286888,Private room,2,$52.00,90,10,9,10,10,10,9
13788865,https://www.airbnb.com/rooms/13788865,Comfortable Studio at the Boston Commons,Beacon Hill,2116,United States,42.352409414178034,-71.06484533300151,Entire home/apt,2,$150.00,96,10,9,10,10,10,9
13796564,https://www.airbnb.com/rooms/13796564,Marie's Pied a Terre,Roxbury,2119,United States,42.32403900048452,-71.07999508907358,Private room,2,$75.00,90,10,10,10,10,9,9
13797162,https://www.airbnb.com/rooms/13797162,Sunny Artist Loft In Historic Brownstone,Roxbury,2119,United States,42.32236629986866,-71.07874135249834,Entire home/apt,2,$150.00,98,10,10,10,10,8,10
13797236,https://www.airbnb.com/rooms/13797236,Cosy apartment in heart of Beacon hill,Beacon Hill,2114,United States,42.36031305418009,-71.06659066535445,Entire home/apt,4,$185.00,,,,,,,
13810937,https://www.airbnb.com/rooms/13810937,1 Bedroom in Beacon Hill,Beacon Hill,2114,United States,42.3604697212397,-71.06954017181788,Private room,1,$85.00,90,9,8,10,10,10,9
13827734,https://www.airbnb.com/rooms/13827734,Cozy Private Room!!,Hyde Park,2136,United States,42.26288685137828,-71.1207264475261,Private room,2,$60.00,100,10,10,10,10,9,10
13829133,https://www.airbnb.com/rooms/13829133,Sunny studio in JP!,Jamaica Plain,2130,United States,42.31721558278527,-71.1079661278404,Private room,2,$125.00,99,10,10,10,10,10,9
13830152,https://www.airbnb.com/rooms/13830152,Room in a house 3 min to T stop-10 min to downtown,Charlestown,2129,United States,42.383907080542,-71.07878595806467,Private room,2,$80.00,97,10,10,10,10,9,10
13864415,https://www.airbnb.com/rooms/13864415,"Comfy room (C) near T, convention center, downtown",South Boston,2127,United States,42.339194005113036,-71.04967212701762,Private room,2,$89.00,85,9,9,9,9,9,9
13865867,https://www.airbnb.com/rooms/13865867,Large Arts & Crafts style Jamaica Plain home.,Jamaica Plain,2130,United States,42.312540826270975,-71.1224634974153,Private room,2,$69.00,98,10,10,10,10,10,10
