id,listing_url,name,neighbourhood_cleansed,zipcode,country,latitude,longitude,room_type,accommodates,price,review_scores_rating
19568535,https://www.airbnb.com/rooms/19568535,Private Welcoming Apartment!,Jamaica Plain,2130,United States,42.32401763,-71.10885073,Entire home/apt,5,$160.00,92
19623990,https://www.airbnb.com/rooms/19623990,CHARMING 3BR/1Bth+1PrivateParking byThe Tstation!8,Allston,2134,United States,42.34736198,-71.1352874,Entire home/apt,8,$139.00,92
19661845,https://www.airbnb.com/rooms/19661845,Top of the Hill/BACKBAY,Back Bay,2115,United States,42.3508689,-71.08607793,Entire home/apt,3,$70.00,92
19823776,https://www.airbnb.com/rooms/19823776,Airy 2BR in Downtown Crossing by Sonder,Downtown,2108,United States,42.35605175,-71.06096509,Entire home/apt,4,$277.00,92
19858006,https://www.airbnb.com/rooms/19858006,Modern 2BR in Brighton by Sonder,Brighton,2135,United States,42.33846847,-71.15345312,Entire home/apt,4,$171.00,92
20207694,https://www.airbnb.com/rooms/20207694,cute and cozy 3rd floor apt,Roslindale,2131,United States,42.27632176,-71.13422847,Entire home/apt,5,$147.00,92
20309505,https://www.airbnb.com/rooms/20309505,Across The Street From Paul Revere's House!,North End,2113,United States,42.364366,-71.05306894,Entire home/apt,5,$151.00,92
20456058,https://www.airbnb.com/rooms/20456058,Very cool place in a very cool location.,Allston,2134,United States,42.34741496,-71.13316522,Entire home/apt,2,$125.00,92
20587592,https://www.airbnb.com/rooms/20587592,Sunny Back Bay loft in Boston's best location!,Back Bay,2116,United States,42.35570204,-71.07362307,Entire home/apt,2,$280.00,92
20635474,https://www.airbnb.com/rooms/20635474,(104) Back Bay Studio - Prime Location/ St Botolph,Back Bay,2115,United States,42.34391972,-71.08195638,Entire home/apt,2,$99.00,92
20726840,https://www.airbnb.com/rooms/20726840,Amazing 3BR/2BA Apt in North End by Domio,North End,2113,United States,42.36578488,-71.05670298,Entire home/apt,8,$169.00,92
20955187,https://www.airbnb.com/rooms/20955187,Hip 2BR in South End by Sonder,South End,2118,United States,42.33675554,-71.07445649,Entire home/apt,4,$230.00,92
21079638,https://www.airbnb.com/rooms/21079638,Chill Fenway Home,Fenway,2215,United States,42.34595186,-71.10631335,Private room,2,$65.00,92
21202826,https://www.airbnb.com/rooms/21202826,Two bedrooms and sofa available in a house.,Mattapan,2126,United States,42.26979118,-71.10234288,Private room,4,$44.00,92
21378036,https://www.airbnb.com/rooms/21378036,Classic 1BR in Brighton by Sonder,Brighton,2135,United States,42.34919314,-71.14834158,Entire home/apt,2,$155.00,92
21409374,https://www.airbnb.com/rooms/21409374,Lovely Loft in Downtown Crossing by Sonder,Chinatown,2111,United States,42.35172581,-71.0616978,Entire home/apt,2,$187.00,92
21502692,https://www.airbnb.com/rooms/21502692,North End One Bedroom Downtown Boston,North End,2113,United States,42.36500273,-71.05587579,Entire home/apt,3,$256.00,92
21546411,https://www.airbnb.com/rooms/21546411,Bright 3BR in Brighton by Sonder,Brighton,2135,United States,42.34068371,-71.15660726,Entire home/apt,6,$154.00,92
21546827,https://www.airbnb.com/rooms/21546827,Spacious 3BR in Brighton by Sonder,Brighton,2135,United States,42.34111352,-71.15690846,Entire home/apt,6,$120.00,92
21563331,https://www.airbnb.com/rooms/21563331,HUGE Beacon Hill studio with lots of CHARM!!!,Beacon Hill,2108,United States,42.35892348,-71.06646737,Entire home/apt,2,$180.00,92
21676574,https://www.airbnb.com/rooms/21676574,Expansive 2BR in Downtown Crossing by Sonder,Chinatown,2111,United States,42.35149679,-71.06132842,Entire home/apt,4,$278.00,92
21677482,https://www.airbnb.com/rooms/21677482,Smart 2BR in Downtown Crossing by Sonder,Downtown,2111,United States,42.35163108,-71.06351229,Entire home/apt,4,$278.00,92
21799387,https://www.airbnb.com/rooms/21799387,Southie Haven Studio|1 BR 1BA #2,South Boston,2127,United States,42.33662743,-71.04185034,Entire home/apt,2,$132.00,92
21828281,https://www.airbnb.com/rooms/21828281,112 Myrtle Street Apartment 6,Beacon Hill,2114,United States,42.35870393,-71.06917824,Entire home/apt,4,$85.00,92
21836880,https://www.airbnb.com/rooms/21836880,Modern 1BR in Mission Hill by Sonder,Mission Hill,2120,United States,42.33228014,-71.099284,Entire home/apt,2,$155.00,92
21848299,https://www.airbnb.com/rooms/21848299,Modern/Entire apt/1bdrm/Tstop/Ideal location,South Boston,2127,United States,42.34283306,-71.05608514,Entire home/apt,4,$180.00,92
21964456,https://www.airbnb.com/rooms/21964456,Back Bay beautiful 1BR,Back Bay,2116,United States,42.35436584,-71.07726606,Entire home/apt,3,$114.00,92
